x,y,K,pH,P
240,320,27,8,1.8
240,360,19,7.4,1.2
240,400,19,7.1,1.6
240,440,15,6.6,1.4
240,480,19,7.7,3.8
240,520,18,8.2,3.7
240,560,20,7.9,4.4
240,600,19,8,4.8
240,640,27,7.8,2.6
240,680,29,8,2.5
240,720,35,8.1,14.8
240,760,25,7.8,5.2
240,920,16,7.8,1.5
240,960,14,6.8,1.1
240,1000,15,6.6,1.5
240,1040,16,6.5,1.2
240,1080,16,6.6,2.3
240,1120,16,7.6,3.5
240,1160,16,8.2,5.1
240,1200,15,8.1,4.5
280,280,24,8.4,5.5
280,320,24,7.9,1.4
280,360,24,7.4,1
280,400,23,7.6,2.4
280,440,22,7.8,3.7
280,480,16,7.2,1.6
280,520,19,7.8,4.8
280,560,16,7.6,2.1
280,600,20,8,4.8
280,640,18,7.8,2.1
280,680,27,7.9,1.1
280,720,58,8.1,3.9
280,760,24,8,3.5
280,920,18,6.8,2.1
280,960,14,6.9,1.5
280,1000,17,6.6,1.5
280,1040,17,6.2,1.3
280,1080,14,6.6,1.8
280,1120,18,6.6,3.4
280,1160,15,7.8,5.4
280,1200,28,8.4,5.1
320,280,24,8.2,4.9
320,320,23,7.9,1.8
320,360,24,7.5,2
320,400,21,7.1,1.8
320,440,16,6.6,1.6
320,480,23,6.8,1.6
320,520,20,7.7,4.5
320,560,26,7.5,2
320,600,18,7,2.2
320,640,25,6.7,1.2
320,680,20,6.5,1.1
320,720,44,7.2,2.8
320,760,24,8,4.4
320,920,53,7.4,6.9
320,960,12,7.2,1.1
320,1000,12,6.8,1.6
320,1040,15,7.2,3.2
320,1080,15,7.4,5
320,1120,16,7.1,2.1
320,1160,18,7.4,2.7
320,1200,21,8.2,6.2
360,160,24,8.2,11.1
360,200,20,8.1,5
360,240,20,8.2,3.8
360,280,18,8.2,4.2
360,320,20,7.8,2.1
360,360,24,7.9,2.3
360,400,18,7,2.6
360,440,23,6.4,2.2
360,480,32,7.6,2.3
360,520,33,8,5.4
360,560,27,8.2,1.8
360,600,32,8.2,1.4
360,640,27,7.1,3.1
360,680,26,6.6,2.4
360,720,54,6.7,2.8
360,760,38,7.8,13.5
360,800,58,7.1,16.5
360,880,96,7.2,12.9
360,920,23,7.5,2.5
360,960,17,7.2,1.1
360,1000,18,6.3,1.5
360,1040,20,6.6,2.3
360,1080,18,6.6,2
360,1120,17,6.6,1.6
360,1160,21,7.8,2.6
360,1200,23,8.2,5.1
400,80,33,8,5.4
400,120,24,8.1,10.5
400,160,20,8,12.4
400,200,18,8.2,8.1
400,240,19,8.3,6
400,280,21,8.1,4.8
400,320,20,7.4,2.6
400,360,21,8,2.6
400,400,20,7.8,2.4
400,440,23,7.7,2.3
400,480,31,8.2,3.5
400,520,27,8,1.8
400,560,29,8.2,5.5
400,600,30,8.1,3.5
400,640,21,8.1,1.6
400,680,24,7.8,5.1
400,720,60,8,4.5
400,760,20,7,3.6
400,800,24,8,3.4
400,840,30,7.6,6
400,880,32,7.4,6.4
400,920,29,7.2,3.1
400,960,25,7,2.2
400,1000,21,7.3,2.9
400,1040,28,6.2,2.5
400,1080,35,5.9,1.6
400,1120,20,7.4,3.1
400,1160,21,7.8,2.9
400,1200,24,8.2,4.6
440,80,36,8,5.5
440,120,29,8.2,29.1
440,160,24,8.2,24
440,200,26,8.2,14.4
440,240,22,8.2,9
440,280,20,8.1,6.1
440,320,20,7.8,2.7
440,360,23,7.8,2.9
440,400,24,7.4,2.4
440,440,26,7.7,2.2
440,480,30,8.1,0.9
440,520,42,7.9,2.9
440,560,38,8.2,6.3
440,600,42,8.2,2.8
440,640,38,8.1,1.6
440,680,40,8.2,2.6
440,720,38,8.2,6.8
440,760,25,8,4.1
440,800,24,7.2,5.2
440,840,34,8,6.9
440,880,25,7.4,6
440,920,20,7.4,3.6
440,960,21,6.5,1.6
440,1000,22,6.4,1.6
440,1040,25,6.6,2.2
440,1080,20,6.4,2.1
440,1120,27,6.1,2
440,1160,27,8.1,3.8
440,1200,19,8.3,4.2
480,80,32,8,32.9
480,120,27,8.1,35
480,160,28,8.2,27
480,200,23,8.1,17.1
480,240,22,8.2,8.4
480,280,20,8,6
480,320,21,8.3,2.4
480,360,23,8,2.7
480,400,24,7.8,2.3
480,440,20,8,2.6
480,480,29,8,1.1
480,520,42,8,1
480,560,36,8.3,4.5
480,600,42,8.2,1.3
480,640,37,8.1,1.4
480,680,33,8.3,4.5
480,720,35,8,3
480,760,32,8.2,3.6
480,800,30,8,12.1
480,840,27,7.9,1.2
480,880,27,6.7,3.9
480,920,19,7.8,2.5
480,960,21,7.1,2.9
480,1000,32,6.3,2.1
480,1040,30,5.9,1.7
480,1080,27,6,1
480,1120,27,6.8,1.8
480,1160,28,8.2,3.5
480,1200,20,8.3,3.6
520,80,38,8,30
520,120,26,8.1,49
520,160,24,8,32.4
520,200,28,8.3,4
520,240,28,8.4,1.2
520,280,27,8.3,3
520,320,29,8.3,1.4
520,360,27,8.3,4.2
520,400,33,8.1,1.2
520,440,36,8.1,1.6
520,480,27,8.1,5.4
520,520,24,8,2.1
520,560,27,8.4,3.1
520,600,33,8.2,1.6
520,640,40,8.1,3.3
520,680,41,8.1,4.8
520,720,36,7.5,3.1
520,760,24,8,2.9
520,800,25,7.1,6.8
520,840,24,6.6,2.9
520,880,28,7.8,5.3
520,920,26,7.8,5.1
520,960,25,7.8,7.5
520,1000,20,7.9,7.5
520,1040,23,7.9,6.3
520,1080,22,7.8,5.4
520,1120,32,8,6
520,1160,29,8.3,3.4
520,1200,19,8.4,3.8
560,80,54,7.9,25.3
560,120,42,8,21
560,160,41,8.1,19.2
560,200,37,8.4,2.2
560,240,35,8.4,1.5
560,280,33,8.1,1
560,320,39,8.3,1.1
560,360,53,8.3,2
560,400,42,7.8,1.9
560,440,28,7.9,1.5
560,480,27,8,2.2
560,520,26,8,1
560,560,26,8.5,4.2
560,600,42,8.5,4.5
560,640,38,8.1,6.9
560,680,36,8,7.5
560,720,31,7.8,3.6
560,800,20,7,3.1
560,840,26,6.9,3
560,880,26,7.9,5.2
560,920,23,8,6.1
560,960,28,7.9,6.4
560,1000,20,8,10.6
560,1040,19,8,6
560,1080,24,8.2,8.7
560,1120,34,7.7,5.2
560,1160,29,8.4,3.5
560,1200,18,8.5,2
600,80,41,8.2,12
600,120,30,8.1,7.2
600,160,30,8,8.9
600,200,35,8.3,2.2
600,240,33,8.3,1.3
600,280,26,8.3,0.7
600,320,27,8.2,3.2
600,360,41,8.3,1.5
600,400,33,8,0.8
600,440,36,8,1.2
600,480,27,8.1,2.7
600,520,28,8,2.1
600,560,32,8.4,6.6
600,600,39,8.3,5.4
600,640,39,8.1,5.4
600,680,39,8,8.1
600,720,27,8.1,4.3
600,800,20,6,4.7
600,840,26,6.2,2.1
600,880,28,8,8
600,920,23,8,9
600,960,27,7.9,9.8
600,1000,24,7.8,8.1
600,1040,32,8,14
600,1080,32,8,11.1
600,1120,44,7.5,20.4
600,1160,28,8.5,3.8
600,1200,18,8.4,3.2
640,120,39,8.2,4.7
640,160,38,8.2,5.8
640,200,32,8.2,2.5
640,240,30,8.2,0.7
640,280,28,8.3,0.7
640,320,28,8.4,1
640,360,35,8.4,2.2
640,400,28,8.2,1.2
640,440,24,8,1.6
640,480,29,7.9,2.9
640,520,26,8.2,2.5
640,560,31,8.4,10.5
640,600,31,8.3,10.2
640,640,36,8.2,5.4
640,680,34,8.1,5.3
640,720,31,8.1,5
640,800,24,5.8,3.1
640,840,25,6.2,2.5
640,880,31,7.8,7.2
640,920,26,8,6.8
640,960,25,7.8,2.3
640,1000,35,7.5,11.4
640,1040,31,8,12
640,1080,28,7.9,7.8
640,1120,25,8,8.1
640,1160,24,8.5,3.8
640,1200,19,8.4,3.6
680,120,38,8.2,3.2
680,160,41,8.2,2.6
680,200,30,8.2,1.8
680,240,28,8.2,0.9
680,280,39,8.3,1.1
680,320,33,8.4,2.3
680,360,29,8.3,3.6
680,400,25,8.2,0.9
680,440,38,8,4.3
680,480,23,8,3.4
680,520,26,8.1,2.5
680,560,28,8.4,12.5
680,600,29,8.2,12
680,640,38,8.1,5.1
680,680,38,8.2,7.2
680,720,28,6.8,3
680,800,24,6,4.2
680,840,25,6.2,2.7
680,880,28,7.6,6.1
680,920,24,7.8,4.6
680,960,29,8,6.1
680,1000,19,7.8,8.4
680,1040,22,8,7.5
680,1080,29,8,6
680,1120,39,7.8,7.5
680,1160,24,8.4,3.2
720,120,39,7.9,12.1
720,160,38,8.2,8.7
720,200,36,8.2,4.7
720,240,33,8.2,2.2
720,280,28,8.4,2.9
720,320,27,8.4,3.6
720,360,26,8.2,4.2
720,400,28,8.2,3
720,440,31,8.1,6.6
720,480,29,7.9,6.3
720,520,24,8,7.2
720,560,29,8.4,13.5
720,600,30,8,5.7
720,640,35,8.3,9.1
720,720,38,7.6,7.5
720,800,29,6.1,2
720,840,30,6.8,6
720,880,23,8.2,6.4
720,920,23,7.6,5.1
720,960,29,8.1,6.8
720,1000,29,7.9,9
720,1040,23,7.9,7.5
720,1080,20,8,6.6
720,1160,36,8.6,5.4
